audience,example,person,entity_type,count,over_summary_length
self,masked_manual_example,1,PERSON,7,0.0028328611898017
self,masked_manual_example,1,FAC,2,0.0008093889113719142
self,masked_manual_example,1,TOTAL,36,0.014569000404694455
self,masked_template,1,NORP,1,0.0005945303210463733
self,masked_template,1,MONEY,1,0.0005945303210463733
self,masked_template,1,GPE,13,0.0077288941736028535
self,masked_template,1,PERSON,6,0.0035671819262782403
self,masked_template,1,DATE,1,0.0005945303210463733
self,masked_template,1,TOTAL,22,0.013079667063020214
self,masked_template,1,NORP,1,0.0005945303210463733
self,masked_template,1,MONEY,1,0.0005945303210463733
self,masked_template,1,GPE,13,0.0077288941736028535
self,masked_template,1,PERSON,6,0.0035671819262782403
self,masked_template,1,DATE,1,0.0005945303210463733
self,masked_template,1,TOTAL,22,0.013079667063020214
self,masked_template,1,NORP,1,0.0005945303210463733
self,masked_template,1,MONEY,1,0.0005945303210463733
self,masked_template,1,GPE,13,0.0077288941736028535
self,masked_template,1,PERSON,6,0.0035671819262782403
self,masked_template,1,DATE,1,0.0005945303210463733
self,masked_template,1,TOTAL,22,0.013079667063020214
peer,none,1,NORP,1,0.00037257824143070045
peer,none,1,MONEY,1,0.00037257824143070045
peer,none,1,PERSON,7,0.0026080476900149033
peer,none,1,DATE,49,0.01825633383010432
peer,none,1,CARDINAL,4,0.0014903129657228018
peer,none,1,ORG,2,0.0007451564828614009
peer,none,1,GPE,16,0.005961251862891207
peer,none,1,LOC,1,0.00037257824143070045
peer,none,1,LANGUAGE,1,0.00037257824143070045
peer,none,1,FAC,1,0.00037257824143070045
peer,none,1,TOTAL,83,0.030923994038748136
peer,none,1,NORP,1,0.00037257824143070045
peer,none,1,MONEY,1,0.00037257824143070045
peer,none,1,PERSON,7,0.0026080476900149033
peer,none,1,DATE,49,0.01825633383010432
peer,none,1,CARDINAL,4,0.0014903129657228018
peer,none,1,ORG,2,0.0007451564828614009
peer,none,1,GPE,16,0.005961251862891207
peer,none,1,LOC,1,0.00037257824143070045
peer,none,1,LANGUAGE,1,0.00037257824143070045
peer,none,1,FAC,1,0.00037257824143070045
peer,none,1,TOTAL,83,0.030923994038748136
peer,none,1,NORP,1,0.00037257824143070045
